,horizon,mse,rmse,mae,mape,coverage
173,210 days 00:00:00.000000000,9026.367001193299,95.00719447069942,77.19227607773128,0.3063690752195575,0.3203539823008849
174,211 days 00:00:00.000000000,9107.49516751142,95.43319740798492,77.73683755125921,0.30933093001537165,0.3163716814159293
175,212 days 00:00:00.000000000,9275.94314864843,96.31169788062316,78.85820709131256,0.3142408249584949,0.30783817951959525
176,213 days 00:00:00.000000000,9445.852473218998,97.18977555905249,79.96684281089074,0.31899544438540106,0.3021491782553729
177,214 days 00:00:00.000000000,9442.343092613517,97.17171961333975,80.29860733357503,0.31989128913505016,0.29898862199747145
178,215 days 00:00:00.000000000,9458.652639557858,97.25560466912876,80.5032303942294,0.3204880920137297,0.29519595448798996
179,216 days 00:00:00.000000000,9612.562738045812,98.04367770563185,81.20402580350049,0.3240318061522737,0.2912979351032448
180,217 days 00:00:00.000000000,9710.61710674897,98.54246347006436,81.32493519704298,0.32591598433309105,0.295575221238938
181,218 days 00:00:00.000000000,9686.701613841007,98.42104253583685,81.14850498960617,0.325719159792398,0.29793510324483774
182,219 days 00:00:00.000000000,9779.862370488105,98.89318667374464,81.85498614056435,0.3287441518934747,0.29266750948166875
183,220 days 00:00:00.000000000,9876.608893153816,99.3811294620554,82.51594434348212,0.33169367394910315,0.28824273072060685
184,221 days 00:00:00.000000000,9792.06203718563,98.95484847740221,82.34723114959455,0.3306587955392199,0.28824273072060674
185,222 days 00:00:00.000000000,9722.101681112596,98.60071846144224,82.2726980732258,0.33001028339171623,0.2838179519595447
186,223 days 00:00:00.000000000,9883.863121282806,99.41761977276867,83.03988828195513,0.33357972292181365,0.2787610619469026
187,224 days 00:00:00.000000000,9991.049522492296,99.95523759409657,83.10294851416346,0.3353990753816512,0.28318584070796465
188,225 days 00:00:00.000000000,9919.725393681716,99.59781821747761,82.73024815068239,0.3345365739454979,0.284660766961652
189,226 days 00:00:00.000000000,9988.09892750183,99.94047692252539,83.3586967149874,0.33695320030845033,0.2793931731984829
190,227 days 00:00:00.000000000,10074.663792225676,100.37262471523636,83.90249474045025,0.3389849187209203,0.2749683944374209
191,228 days 00:00:00.000000000,9948.789685312908,99.74361977245917,83.35834440466222,0.336508426990581,0.2793931731984829
192,229 days 00:00:00.000000000,9843.034279274108,99.2120672059307,82.98647637347082,0.33488748033140997,0.2838179519595448
193,230 days 00:00:00.000000000,9980.283799490157,99.9013703584198,83.51990095418694,0.3376669419371813,0.2831858407079646
194,231 days 00:00:00.000000000,10046.072909798584,100.23009981935857,83.3633164752298,0.3386720841507328,0.29203539823008845
195,232 days 00:00:00.000000000,9943.923270247324,99.71922217028833,82.832668363532,0.337003540390174,0.2920353982300885
196,233 days 00:00:00.000000000,10008.729656120442,100.04363875889582,83.39481536659068,0.3389379668479914,0.2819216182048042
